start stimulus,start tracking,start escape,,
13,647,648,,
,,,,
time,xMouth,yMouth,xCOM,yCOM
1.348,24.6044369762711,-5.04823013746043,19.8781660349826,-4.255264900455
1.35,24.6044369762711,-5.09370968824836,19.8781660349826,-4.255264900455
1.352,24.6044369762711,-5.18466878982422,19.8781660349826,-4.255264900455
1.354,24.6953960778469,-5.23014834061216,19.8781660349826,-4.255264900455
1.356,24.6953960778469,-5.23014834061216,19.8781660349826,-4.17421223568443
1.358,24.7408756286349,-5.27562789140009,19.8781660349826,-4.17421223568443
1.36,24.7408756286349,-5.27562789140009,19.8781660349826,-4.17421223568443
1.362,24.7408756286349,-5.36658699297595,19.8781660349826,-4.05263323852857
1.364,24.649916527059,-5.36658699297595,19.8781660349826,-4.05263323852857
1.366,24.649916527059,-5.45754609455181,19.8781660349826,-4.05263323852857
1.368,24.649916527059,-5.45754609455181,19.8781660349826,-4.05263323852857
1.37,24.649916527059,-5.54850519612768,19.8376397025973,-4.05263323852857
1.372,24.6044369762711,-5.63946429770354,19.7971133702121,-4.05263323852857
1.374,24.6044369762711,-5.63946429770354,19.7971133702121,-4.05263323852857
1.376,24.4679983239073,-5.73042339927941,19.7971133702121,-4.05263323852857
1.378,24.4679983239073,-5.73042339927941,19.7971133702121,-4.05263323852857
1.38,24.3770392223314,-5.77590295006734,19.7971133702121,-4.05263323852857
1.382,24.2860801207555,-5.82138250085527,19.7971133702121,-4.05263323852857
1.384,24.2860801207555,-5.8668620516432,19.7565870378268,-4.05263323852857
1.386,24.2860801207555,-5.8668620516432,19.7565870378268,-4.05263323852857
1.388,24.2406005699676,-5.95782115321906,19.7160607054415,-4.05263323852857
1.39,24.1496414683917,-6.003300704007,19.6755343730562,-4.01210690614329
1.392,24.1496414683917,-6.23069845794665,19.6755343730562,-3.971580573758
1.394,24.0586823668159,-6.23069845794665,19.6755343730562,-3.85000157660214
1.396,24.1041619176038,-6.27617800873459,19.7565870378268,-3.85000157660214
1.398,24.1041619176038,-6.27617800873459,19.7565870378268,-3.85000157660214
1.4,23.9222437144521,-6.32165755952252,19.7565870378268,-3.76894891183157
1.402,23.7858050620883,-6.41261666109838,19.7565870378268,-3.76894891183157
1.404,23.6948459605124,-6.41261666109838,19.7565870378268,-3.76894891183157
1.406,23.6948459605124,-6.45809621188631,19.8376397025973,-3.72842257944628
1.408,23.6948459605124,-6.54905531346218,19.8781660349826,-3.72842257944628
1.41,23.6948459605124,-6.64001441503804,19.8781660349826,-3.72842257944628
1.412,23.5584073081486,-6.77645306740184,19.8781660349826,-3.72842257944628
1.414,23.5584073081486,-6.82193261818977,19.9186923673679,-3.80947524421686
1.416,23.4219686557848,-6.91289171976563,19.8376397025973,-3.80947524421686
1.418,23.285530003421,-6.91289171976563,19.8376397025973,-3.85000157660214
1.42,23.3764891049969,-7.04933037212943,19.7971133702121,-3.89052790898743
1.422,23.331009554209,-7.09480992291736,19.6755343730562,-3.89052790898743
1.424,23.331009554209,-7.18576902449322,19.6350080406709,-3.89052790898743
1.426,23.331009554209,-7.32220767685702,19.6350080406709,-3.89052790898743
1.428,23.331009554209,-7.32220767685702,19.6350080406709,-3.89052790898743
1.43,23.331009554209,-7.32220767685702,19.6350080406709,-3.89052790898743
1.432,23.285530003421,-7.45864632922081,19.7565870378268,-3.93105424137271
1.434,23.331009554209,-7.50412588000875,19.7565870378268,-3.971580573758
1.436,23.331009554209,-7.50412588000875,19.8376397025973,-3.971580573758
1.438,23.2400504526331,-7.68604408316047,19.9592186997532,-4.05263323852857
1.44,23.285530003421,-7.82248273552427,19.9997450321385,-4.05263323852857
1.442,23.285530003421,-7.82248273552427,20.0807976969091,-4.13368590329915
1.444,23.2400504526331,-7.91344183710013,20.0807976969091,-4.17421223568443
1.446,23.1945709018452,-7.95892138788806,20.0807976969091,-4.21473856806972
1.448,23.1945709018452,-8.04988048946393,20.1213240292943,-4.21473856806972
1.45,23.1945709018452,-8.04988048946393,20.1213240292943,-4.255264900455
1.452,23.1945709018452,-8.04988048946393,20.1213240292943,-4.29579123284029
1.454,23.1945709018452,-8.14083959103979,19.9997450321385,-4.33631756522557
1.456,23.1945709018452,-8.18631914182773,19.9592186997532,-4.33631756522557
1.458,23.1490913510572,-8.23179869261566,19.9592186997532,-4.33631756522557
1.46,23.1490913510572,-8.23179869261566,19.9592186997532,-4.33631756522557
1.462,23.1490913510572,-8.27727824340359,19.9592186997532,-4.33631756522557
1.464,23.0126526986935,-8.27727824340359,19.9592186997532,-4.33631756522557
1.466,22.9671731479055,-8.36823734497945,19.9592186997532,-4.33631756522557
1.468,22.9671731479055,-8.36823734497945,19.9592186997532,-4.33631756522557
1.47,22.9216935971176,-8.41371689576738,20.0402713645238,-4.41737022999614
1.472,22.9216935971176,-8.41371689576738,20.0402713645238,-4.41737022999614
1.474,22.9216935971176,-8.45919644655531,20.0402713645238,-4.41737022999614
1.476,22.9216935971176,-8.45919644655531,20.0807976969091,-4.49842289476671
1.478,22.9216935971176,-8.50467599734324,20.0807976969091,-4.49842289476671
1.48,22.9216935971176,-8.50467599734324,20.0807976969091,-4.57947555953729
1.482,22.9216935971176,-8.59563509891911,20.0807976969091,-4.57947555953729
1.484,22.8762140463297,-8.59563509891911,20.1213240292943,-4.62000189192257
1.486,22.8762140463297,-8.68659420049498,20.1618503616796,-4.66052822430786
1.488,22.8762140463297,-8.68659420049498,20.1618503616796,-4.70105455669314
1.49,22.8762140463297,-8.68659420049498,20.1618503616796,-4.78210722146372
1.492,22.8762140463297,-8.73207375128291,20.1618503616796,-4.78210722146372
1.494,22.8762140463297,-8.73207375128291,20.1618503616796,-4.822633553849
1.496,22.9216935971176,-8.77755330207084,20.1618503616796,-4.90368621861958
1.498,22.9216935971176,-8.8685124036467,20.1618503616796,-4.90368621861958
1.5,22.9216935971176,-8.8685124036467,20.1618503616796,-4.90368621861958
1.502,22.9216935971176,-8.8685124036467,20.1618503616796,-4.90368621861958
1.504,22.9216935971176,-8.8685124036467,20.1618503616796,-4.90368621861958
1.506,22.9216935971176,-8.91399195443463,20.2429030264502,-4.98473888339015
1.508,22.9216935971176,-8.91399195443463,20.2429030264502,-5.06579154816072
1.51,22.9671731479055,-8.91399195443463,20.2429030264502,-5.106317880546
1.512,22.9671731479055,-8.91399195443463,20.2834293588355,-5.18737054531657
1.514,23.0126526986935,-8.95947150522256,20.2834293588355,-5.18737054531657
1.516,23.0126526986935,-8.95947150522256,20.2834293588355,-5.18737054531657
1.518,23.0126526986935,-9.05043060679842,20.3239556912208,-5.22789687770186
1.52,23.0126526986935,-9.05043060679842,20.3239556912208,-5.26842321008715
1.522,23.0126526986935,-9.05043060679842,20.3239556912208,-5.30894954247243
1.524,23.0126526986935,-9.05043060679842,20.4050083559914,-5.34947587485772
1.526,23.0126526986935,-9.05043060679842,20.4050083559914,-5.34947587485772
1.528,23.0126526986935,-9.05043060679842,20.4050083559914,-5.34947587485772
1.53,23.0126526986935,-9.05043060679842,20.4050083559914,-5.34947587485772
1.532,23.0126526986935,-9.05043060679842,20.4050083559914,-5.34947587485772
1.534,23.0126526986935,-9.05043060679842,20.4050083559914,-5.390002207243
1.536,23.0581322494814,-9.18686925916223,20.4860610207619,-5.43052853962829
1.538,23.0581322494814,-9.18686925916223,20.4860610207619,-5.43052853962829
1.54,23.0581322494814,-9.18686925916223,20.4860610207619,-5.47105487201357
1.542,23.0581322494814,-9.18686925916223,20.4860610207619,-5.47105487201357
1.544,23.0581322494814,-9.18686925916223,20.4860610207619,-5.47105487201357
1.546,23.0581322494814,-9.18686925916223,20.4860610207619,-5.51158120439886
1.548,23.0581322494814,-9.18686925916223,20.4860610207619,-5.51158120439886
1.55,23.0581322494814,-9.18686925916223,20.4860610207619,-5.51158120439886
1.552,23.1490913510572,-9.27782836073809,20.4455346883766,-5.55210753678415
1.554,23.1490913510572,-9.27782836073809,20.4455346883766,-5.55210753678415
1.556,23.1490913510572,-9.27782836073809,20.4455346883766,-5.55210753678415
1.558,23.1490913510572,-9.27782836073809,20.4455346883766,-5.67368653394001
1.56,23.1490913510572,-9.36878746231395,20.4455346883766,-5.67368653394001
